,Mean,MeanError,Chisq,ReducedChisq,Amplitude
0,278.32178491002344,0.13296423600740562,157.54534462900708,11.253238902071933,239.85121585203933
1,356.21552933000373,0.011867553019047452,-1014119.9765161793,-112679.99739068659,8528.986817205683
2,435.7379507713653,0.07164685820295412,-101210.97644479436,-11245.664049421595,1464.9390012935303
3,448.682353802253,0.027161168559054795,-196096.11387559355,-19609.611387559355,2720.802697298229
4,461.35866427061404,0.23079944658947937,5927.791597445304,740.973949680663,319.43280783582844
5,484.80770135058197,0.08090674842628318,22008.475920647616,2445.3862134052906,820.245813634167
6,507.60158153233385,0.08548327999210056,-93301.15954326419,-7177.012272558784,1092.6979829039492
7,522.6536627889011,0.13632225162656506,-125317.99248024306,-8354.532832016204,447.14635985101984
8,377.63787909837686,0.44251136424089593,28599.210526750972,3574.9013158438715,151.6715730778595
9,538.7993803357124,0.3537501955878365,1410.5317306104337,176.3164663263042,102.58460021808843
10,554.2975550740413,0.9630649103963562,6833.262423514959,683.3262423514959,331.24754544649596
11,567.0177855034071,0.5542161513497894,-37307.84485464303,-5329.692122091861,274.96823470646814
12,589.7346525133233,0.17382747140889662,3777.5942729398234,251.83961819598824,292.50571779320666
13,729.4964288170165,0.012683991098931466,13975.272699453908,1164.6060582878256,7717.301610625445
14,737.3137520700202,0.3496159438131669,-15771.517281926706,-2628.586213654451,227.56550902874653
15,774.584084222822,0.17775928199618116,-17403.248247168736,-1740.3248247168735,376.0344412968417
16,1113.5411542571846,0.2931336546205519,2502.6150213665424,192.50884779742634,183.77785899766081
17,1429.7850655928294,0.09128103812161896,-15646.728330878339,-1043.115222058556,479.80269999345455
18,1466.457337129369,0.049438093556535286,1842.9875595774365,122.86583730516243,1097.3410170190982
19,1656.2586865974868,0.23450446931692198,-38297.53139139677,-2735.5379565283406,152.53847307121606
20,1769.9613591674495,0.32898742710209544,-46827.16546998513,-2754.5391452932427,133.4414312638608
21,1815.4317836869102,0.14986000774061684,969.053496627463,80.75445805228858,365.5258737839251
22,2027.9144709244763,0.340464060609246,19343.281535673374,1611.940127972781,103.32194951620002
23,2063.637167701715,0.025766708837949213,-29673.061476234267,-1561.7400776965403,2621.4117009662273
24,2109.3845059236155,0.19236930230352894,-58696.73068164954,-4192.623620117824,200.69647782176284
25,2133.9943355037326,0.08236294056697849,23653.49632955356,1819.4997176579661,924.3952387660839
26,2300.6863130508336,0.3539438928626607,8648.142932564415,540.5089332852759,114.27468667319741
27,2463.489898679717,0.30773668774330565,-77656.07537864872,-4087.1618620341433,127.88806818778977
28,2661.3825606978758,0.2329044217584474,-76537.22805784852,-4028.275160939396,187.92233582140548
29,3063.062760001323,0.2602142303530585,3756.2376985806764,107.32107710230504,201.52850313101007
30,3496.0048984470554,0.2575809414454831,-36145.6830924434,-1338.7290034238297,84.05093858461356
31,3652.459950244002,0.17516978699748967,-29401.755741519566,-948.4437335974054,131.84361755401008
32,3966.715364980684,0.006565608908282867,-1095706.1901650184,-34240.818442656826,28499.319959329114
33,4669.983333619868,0.07874166543052157,2670.326146083405,102.70485177243866,365.9458385387156
34,5200.399091086501,0.17972857251722804,-8531.922975309231,-284.39743251030774,109.12705293938556
35,5462.878605243656,0.268831991477694,-54904.07521901574,-2111.6952007313744,56.621036191256884
36,5780.142244030634,0.08065079475320774,3685.121974166021,111.6703628535158,330.80693552603776
37,5809.6316412085625,0.4108772572612636,671.2279364596612,25.816459094602354,36.219302626103996
38,6026.094278019552,1.0919318592611176,53202.395308852276,2313.147622124012,25.396634524565233
39,6510.428192153723,0.1059867146596554,3548.869864231568,98.5797184508769,217.27844097293658
40,6534.192979092718,0.8515398171293057,-2763.069645771523,-153.50386920952906,36.03834165487506
41,6667.723144496335,0.09514890202430436,15550.459177706674,379.2794921391872,243.57795807892074
42,6716.774308273975,1.0421265352871358,54320.797824873196,3017.8221013818443,37.94099050458767
43,7271.536486393296,0.6961994566050032,-40188.2676748338,-1148.2362192809658,23.99387921887669
44,7638.773216722957,1.6945899072775226,-110299.5869633239,-5514.979348166195,23.01832462921802
45,7789.602684537156,0.6192557515689262,18065.314104821682,722.6125641928672,26.999417766376276
46,8260.487941528083,1.2303934452312268,-14267.620481416263,-365.836422600417,10.532888353058134
47,8442.452308300415,0.0822684306241026,30240.32797044598,560.0060735267774,293.7766103884348
48,8758.974040969693,0.0743145518509259,8083.978144306666,122.48451733797978,340.7876716150575
49,9169.01838900952,0.7841160945865188,-13700.551775855078,-291.5011016139378,12.341180167208456
50,9521.554125017501,1.9577115622358567,-24800.20774873677,-885.7217053120276,6.875468548673654
51,9547.900331761477,0.751453339886942,6770.042109202264,218.3884551355569,12.007961757246136
52,10368.92978246564,1.0303201210547837,-30294.05605637554,-1122.002076162057,6.356084045603882
53,10580.336678721225,0.29311874030342777,38663.1459133178,840.5031720286478,33.01716519757549
54,13217.792596345522,0.5292203486980759,-9329.066420201067,-233.22666050502667,12.06055955103948
55,15676.950161903918,0.19554725413075472,20719.516199375437,383.69474443287845,51.89877207939865
